0602961;LFMD
0608861;LFMN
1106961;LFMK
1225461;LFCR
1304761;LFMI
1305461;LFML
1413761;LFRK
1457861;LFRG
1501461;LFLW
1607861;LFBU
1730061;LFBH
1914761;LFSL
2000461;LFKJ
2005061;LFKC
2011461;LFKF
2014861;LFKB
2211361;LFRO
2403761;LFBE
2907561;LFRB
2921661;LFRQ
3025861;LFTW
3106961;LFBO
3328161;LFBD
3415461;LFMT
3420961;LFMU
3522861;LFRD
3528161;LFRN
3606361;LFLX
3717961;LFOT
3838461;LFLS
3952661;LFGJ
4200561;LFMH
4402061;LFRS
4410361;LFRZ
4709161;LFBA
4918861;LFJR
5020961;LFRC
5159561;LFOK
5618561;LFRH
5725161;LFJL
5934361;LFQQ
6063961;LFOB
6282661;LFAT
6311361;LFLC
6402461;LFBZ
6454961;LFBP
6534461;LFBT
6613661;LFMP
6712461;LFST
6829761;LFSB
6902961;LFLY
6929961;LFLL
714910;LFLN
721810;LFRM
7332961;LFLB
7418261;LFLP
7611661;LFOP
7648161;LFOH
7862061;LFPN
8052361;LFAQ
8112061;LFCK
8306961;LFTH
8400761;LFMV
8602761;LFBI
8708561;LFBL
9405461;LFPO
9508861;LFPB
9552761;LFPG
9721301;TFFF
9730701;SOCA
9741601;FMEP
9741801;FMEE
9710101;TFFR
9750201;LFVP
9850801;FMCZ
9861101;NLWF
9861301;NLWW
9871501;NTAA
9881101;NWWD
9881201;NWWK
9881401;NWWL
9881501;NWWR
9881801;NWWM
9882101;NWWW
9883001;NWWU
9880901;NWWE
9882001;NWWV